bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
6.322780000000000067e-03,4.713168000000000291e+01,1.841422000000000002e-04,6.280158000000000129e-01,8.701653999999999639e-03,5.315059000000000111e+01,3.844726999999999823e-04,1.000707999999999931e+00,7.396056000000000462e-04,1.878937000000000012e-03,3.452665999999999987e-05,8.326392000000000515e-02,2.655175999999999869e-04,1.621342000000000061e+00,5.800000000000000000e+01,1.110000000000000000e+02,1.978258555799999954e+02,1.978257120199999974e+02,-1.472829127900000090e+00,-1.472879311600000074e+00,1.978258556000000112e+02,1.978257120000000100e+02,-1.472829100000000002e+00,-1.472879300000000002e+00,2.366999999999999993e+00,2.531000000000000139e+00,1.651000000000000023e+00,2.209000000000000075e+00
1.306644999999999968e+01,3.293630999999999858e+03,1.718951999999999937e-03,1.623113000000000028e+00,1.259758000000000067e+01,3.499438000000000102e+03,8.950333999999999677e-04,1.937265999999999933e+00,7.488739000000000333e-04,1.544038000000000008e-02,3.452665999999999987e-05,8.326392000000000515e-02,7.217803999999999887e-01,1.976978000000000080e+01,5.061000000000000000e+03,7.990000000000000000e+02,1.978367156099999988e+02,1.978368842799999925e+02,-1.473890712700000050e+00,-1.473919755400000087e+00,1.978367155999999909e+02,1.978368843000000084e+02,-1.473890700000000109e+00,-1.473919800000000002e+00,6.594999999999999751e+00,9.207000000000000739e+00,5.942000000000000171e+00,3.446000000000000174e+00
3.181115999999999783e-04,2.426747999999999905e+00,5.146930999999999934e-05,2.355058999999999902e-01,4.857726000000000253e-04,3.866976999999999887e+00,1.400116999999999931e-04,5.606162999999999563e-01,7.406528000000000113e-04,1.535378999999999911e-03,3.452665999999999987e-05,8.326392000000000515e-02,7.786805999999999795e-05,2.660484000000000182e-01,5.000000000000000000e+00,1.500000000000000000e+01,1.978286180999999999e+02,1.978284618700000124e+02,-1.473327634499999927e+00,-1.473334063000000027e+00,1.978286180999999999e+02,1.978284619000000077e+02,-1.473327599999999959e+00,-1.473334099999999980e+00,6.109999999999999876e-01,1.352999999999999980e+00,6.049999999999999822e-01,9.370000000000000551e-01
1.823214000000000085e-02,9.688685999999999865e+01,2.278644000000000134e-04,6.661114000000000201e-01,1.931367000000000153e-02,9.869472000000000378e+01,3.096724999999999933e-04,7.611048999999999731e-01,7.394373000000000092e-04,1.436547000000000041e-03,3.452665999999999987e-05,8.326392000000000515e-02,1.786484000000000075e-03,4.735623999999999612e+00,7.900000000000000000e+01,1.310000000000000000e+02,1.978285109999999918e+02,1.978283808900000054e+02,-1.470988529500000030e+00,-1.471023721999999978e+00,1.978285109999999918e+02,1.978283809000000133e+02,-1.470988500000000032e+00,-1.471023699999999934e+00,2.153000000000000025e+00,2.262000000000000011e+00,1.697999999999999954e+00,2.160000000000000142e+00
1.188637000000000027e-02,6.017405000000000115e+01,2.819090000000000007e-04,7.791099000000000219e-01,1.776762999999999953e-02,6.640694999999999482e+01,7.120645000000000533e-04,1.249883999999999995e+00,7.435490000000000328e-04,2.212792999999999791e-03,3.452665999999999987e-05,8.326392000000000515e-02,2.541320999999999923e-04,9.906509999999999483e-01,1.360000000000000000e+02,1.790000000000000000e+02,1.978319964599999992e+02,1.978318563599999891e+02,-1.474885678799999988e+00,-1.474918590399999951e+00,1.978319965000000025e+02,1.978318563999999924e+02,-1.474885699999999966e+00,-1.474918600000000080e+00,3.676000000000000156e+00,3.516000000000000014e+00,2.725999999999999979e+00,2.952999999999999847e+00
9.984957000000000901e-04,3.627120000000000122e+00,9.490471999999999418e-05,2.662130999999999803e-01,2.262683000000000142e-03,6.617512999999999757e+00,3.247057000000000242e-04,7.021429999999999616e-01,7.381247999999999976e-04,2.146428000000000138e-03,3.452665999999999987e-05,8.326392000000000515e-02,8.801039000000000626e-05,3.181003000000000025e-01,1.400000000000000000e+01,1.900000000000000000e+01,1.978274415699999906e+02,1.978272840600000109e+02,-1.466202627599999975e+00,-1.466265074400000090e+00,1.978274415999999860e+02,1.978272841000000142e+02,-1.466202599999999912e+00,-1.466265099999999988e+00,1.590999999999999970e+00,1.292999999999999927e+00,8.920000000000000151e-01,1.189999999999999947e+00
1.235921000000000068e-03,2.256133000000000166e+01,1.003322000000000014e-04,5.410376000000000074e-01,2.124696000000000137e-03,3.398646999999999707e+01,2.800233000000000062e-04,1.291112999999999955e+00,7.443868000000000403e-04,4.909026999999999835e-03,3.452665999999999987e-05,8.326392000000000515e-02,1.592119999999999929e-04,9.089884000000000297e-01,1.500000000000000000e+01,8.400000000000000000e+01,1.978332176600000025e+02,1.978330745400000126e+02,-1.473894706899999907e+00,-1.473865131699999997e+00,1.978332177000000058e+02,1.978330745000000093e+02,-1.473894700000000002e+00,-1.473865100000000039e+00,1.370000000000000107e+00,2.888999999999999790e+00,9.659999999999999698e-01,1.820000000000000062e+00
4.398080999999999866e-03,2.899521999999999977e+01,1.691453999999999950e-04,5.795339000000000462e-01,6.402635000000000270e-03,3.500408999999999793e+01,3.966811999999999790e-04,1.000707999999999931e+00,7.381386999999999671e-04,2.014741000000000015e-03,3.452665999999999987e-05,8.326392000000000515e-02,2.218874999999999927e-04,9.039954999999999519e-01,4.700000000000000000e+01,9.600000000000000000e+01,1.978279408799999999e+02,1.978278081199999860e+02,-1.465996540499999945e+00,-1.466027324399999943e+00,1.978279408999999873e+02,1.978278080999999986e+02,-1.465996499999999925e+00,-1.466027299999999922e+00,2.051000000000000156e+00,2.697000000000000064e+00,1.548999999999999932e+00,2.081999999999999851e+00
2.240235000000000143e-03,1.058500000000000085e+01,1.260735999999999986e-04,3.764821999999999891e-01,2.624275000000000132e-03,1.279158999999999935e+01,2.809678000000000240e-04,7.130296000000000411e-01,7.382149999999999650e-04,1.922391999999999981e-03,3.452665999999999987e-05,8.326392000000000515e-02,1.784284000000000076e-04,6.028970999999999636e-01,2.600000000000000000e+01,4.200000000000000000e+01,1.978285844600000019e+02,1.978284501999999918e+02,-1.466015009499999966e+00,-1.466051180200000026e+00,1.978285845000000052e+02,1.978284501999999918e+02,-1.466015000000000068e+00,-1.466051200000000110e+00,1.514000000000000012e+00,1.691000000000000059e+00,1.241000000000000103e+00,1.592000000000000082e+00
1.612680000000000016e-02,3.933335000000000150e+02,2.781247999999999837e-04,1.276712999999999987e+00,2.417124999999999829e-02,4.009655999999999949e+02,6.274192000000000050e-04,1.475961999999999996e+00,7.381837999999999508e-04,1.965235999999999979e-03,3.452665999999999987e-05,8.326392000000000515e-02,4.166069999999999908e-04,5.562364999999999782e+00,1.280000000000000000e+02,4.940000000000000000e+02,1.978292018399999961e+02,1.978290172799999880e+02,-1.464115587200000013e+00,-1.464086114599999933e+00,1.978292017999999928e+02,1.978290173000000038e+02,-1.464115599999999962e+00,-1.464086100000000057e+00,3.701000000000000068e+00,4.519999999999999574e+00,2.476999999999999869e+00,4.059000000000000163e+00
