bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
5.699066000000000028e-03,2.530122000000000071e+01,2.315461999999999956e-04,5.444257000000000124e-01,8.375341999999999162e-03,3.558001999999999754e+01,5.728137999999999806e-04,1.192269999999999941e+00,1.102632000000000091e-03,1.375696000000000037e-03,4.911837999999999914e-05,6.735520000000000396e-02,2.895991000000000103e-04,5.695354000000000250e-01,4.700000000000000000e+01,1.200000000000000000e+02,1.978258450099999948e+02,1.978257199200000116e+02,-1.472847932200000098e+00,-1.472893015599999966e+00,1.978258449999999868e+02,1.978257198999999957e+02,-1.472847900000000099e+00,-1.472893000000000008e+00,2.019000000000000128e+00,2.833000000000000185e+00,1.560000000000000053e+00,2.626999999999999780e+00
1.171743999999999986e+01,1.986897000000000116e+04,2.027054999999999829e-03,3.096712000000000131e+00,1.109068000000000076e+01,1.932368000000000029e+04,1.087527999999999932e-03,1.933457999999999899e+00,1.111447999999999907e-03,1.458812999999999950e-02,4.911837999999999914e-05,6.735520000000000396e-02,6.770270000000000454e-01,1.115293999999999954e+02,3.537000000000000000e+03,4.467000000000000000e+03,1.978367229499999951e+02,1.978366362900000013e+02,-1.473889739000000088e+00,-1.473917237300000016e+00,1.978367229000000123e+02,1.978366363000000092e+02,-1.473889699999999969e+00,-1.473917200000000038e+00,5.705000000000000071e+00,7.012999999999999901e+00,5.011999999999999567e+00,6.868999999999999773e+00
1.456087000000000006e-02,7.018193999999999733e+01,2.778554999999999827e-04,6.140457000000000276e-01,1.630308000000000104e-02,7.525103000000000009e+01,4.619332999999999773e-04,8.555260000000000087e-01,1.102871000000000060e-03,1.280520999999999960e-03,4.911837999999999914e-05,6.735520000000000396e-02,1.327643000000000096e-03,1.708202999999999916e+00,6.400000000000000000e+01,1.720000000000000000e+02,1.978285166899999865e+02,1.978283854700000006e+02,-1.470999574799999987e+00,-1.471021840199999930e+00,1.978285166999999944e+02,1.978283854999999960e+02,-1.470999600000000074e+00,-1.471021799999999935e+00,1.943999999999999950e+00,2.883999999999999897e+00,1.711000000000000076e+00,2.712000000000000188e+00
6.040916000000000341e-03,4.604003999999999763e+01,2.680342000000000163e-04,6.705518000000000312e-01,9.193612000000000312e-03,5.234687000000000268e+01,7.114162000000000480e-04,1.003066999999999931e+00,1.104315000000000027e-03,2.397448999999999848e-03,4.911837999999999914e-05,6.735520000000000396e-02,2.151343999999999913e-04,6.073269000000000029e-01,5.200000000000000000e+01,2.100000000000000000e+02,1.978320588400000020e+02,1.978318714700000100e+02,-1.474877612400000038e+00,-1.474909696999999964e+00,1.978320587999999987e+02,1.978318715000000054e+02,-1.474877599999999900e+00,-1.474909699999999990e+00,2.494000000000000217e+00,3.878000000000000114e+00,1.760000000000000009e+00,3.204000000000000181e+00
9.280687999999999438e-02,2.438412999999999897e+02,6.029101999999999725e-04,1.091625000000000068e+00,8.837528999999999524e-02,2.520673999999999921e+02,6.169740999999999854e-04,1.343356999999999912e+00,1.109858999999999932e-03,9.998326999999999562e-03,4.911837999999999914e-05,6.735520000000000396e-02,6.276577000000000198e-03,4.473994000000000248e+00,2.310000000000000000e+02,5.270000000000000000e+02,1.978346318899999972e+02,1.978345354900000075e+02,-1.474587590699999895e+00,-1.474618857899999913e+00,1.978346319000000051e+02,1.978345354999999870e+02,-1.474587599999999998e+00,-1.474618900000000066e+00,2.932999999999999829e+00,4.621999999999999886e+00,2.751999999999999780e+00,4.402999999999999581e+00
3.924145999999999884e-03,1.722332000000000107e+01,2.071013000000000021e-04,4.512743000000000171e-01,6.747440000000000382e-03,2.459005000000000152e+01,5.624239000000000278e-04,9.493660000000000432e-01,1.102997999999999999e-03,3.435969000000000089e-03,4.911837999999999914e-05,6.735520000000000396e-02,1.987267000000000026e-04,4.600540000000000185e-01,3.600000000000000000e+01,8.900000000000000000e+01,1.978279365699999914e+02,1.978278167599999904e+02,-1.465995180499999995e+00,-1.466036881199999975e+00,1.978279365999999868e+02,1.978278167999999937e+02,-1.465995200000000054e+00,-1.466036899999999976e+00,2.137999999999999901e+00,2.644000000000000128e+00,1.274000000000000021e+00,2.274000000000000021e+00
1.798158999999999912e-03,5.256251999999999924e+00,1.389277000000000014e-04,3.078427000000000247e-01,2.817112000000000088e-03,1.076247000000000043e+01,3.526806999999999859e-04,9.641184000000000420e-01,1.105894000000000061e-03,5.116588000000000039e-03,4.911837999999999914e-05,6.735520000000000396e-02,2.401485000000000132e-04,2.149131999999999987e-01,1.500000000000000000e+01,3.900000000000000000e+01,1.978332311300000015e+02,1.978330936499999950e+02,-1.473869580899999976e+00,-1.473860162999999890e+00,1.978332311000000061e+02,1.978330936000000122e+02,-1.473869600000000002e+00,-1.473860200000000065e+00,1.372000000000000108e+00,2.515000000000000124e+00,8.439999999999999725e-01,1.429999999999999938e+00
6.325329000000000368e-02,1.880125999999999920e+02,7.351366000000000454e-04,1.103566000000000047e+00,9.877047999999999384e-02,2.878403000000000134e+02,1.816125999999999938e-03,2.070920999999999790e+00,1.105237999999999924e-03,3.596952999999999956e-03,4.911837999999999914e-05,6.735520000000000396e-02,3.496244000000000131e-04,9.155860999999999583e-01,4.490000000000000000e+02,5.650000000000000000e+02,1.978354894699999988e+02,1.978353138600000136e+02,-1.445263919100000072e+00,-1.445325905100000030e+00,1.978354894999999942e+02,1.978353138999999885e+02,-1.445263900000000046e+00,-1.445325900000000052e+00,1.516300000000000026e+01,1.224200000000000088e+01,2.617999999999999883e+00,3.274000000000000021e+00
3.627593999999999957e-02,1.283817999999999984e+02,4.966114000000000205e-04,9.180536000000000252e-01,5.234460999999999975e-02,1.403017999999999859e+02,1.151230000000000048e-03,1.329779999999999962e+00,1.103183999999999892e-03,3.102066000000000111e-03,4.911837999999999914e-05,6.735520000000000396e-02,8.215924999999999574e-04,9.861292999999999864e-01,2.100000000000000000e+02,3.780000000000000000e+02,1.978291941399999985e+02,1.978290061700000138e+02,-1.464125784499999972e+00,-1.464053585100000054e+00,1.978291940999999952e+02,1.978290062000000091e+02,-1.464125799999999922e+00,-1.464053599999999955e+00,4.453000000000000291e+00,4.642000000000000348e+00,3.357000000000000206e+00,4.205000000000000071e+00
1.349719000000000092e-03,8.507115999999999900e+00,1.389277000000000014e-04,3.620233999999999952e-01,2.316354000000000069e-03,1.204318999999999917e+01,3.208398999999999908e-04,7.764535999999999660e-01,1.102920999999999980e-03,3.003843999999999872e-03,4.911837999999999914e-05,6.735520000000000396e-02,1.409906000000000050e-04,3.060164000000000217e-01,1.500000000000000000e+01,5.300000000000000000e+01,1.978285757499999988e+02,1.978284274799999878e+02,-1.466026914399999992e+00,-1.466042913999999975e+00,1.978285756999999876e+02,1.978284275000000036e+02,-1.466026899999999911e+00,-1.466042899999999927e+00,1.407999999999999918e+00,2.392999999999999794e+00,9.280000000000000471e-01,1.850999999999999979e+00
