bitflux,hscflux,bitback,hscback,bitxw,hscxw,bityw,hscyw,bitalpha,hscalpha,bitdelta,hscdelta,bita,hsca,bitb,hscb
1.091423999999999910e-03,2.513764000000000109e+01,1.297355999999999943e-03,1.905313000000000059e-03,1.977919366799999921e+02,1.977917541799999981e+02,-1.444437457800000102e+00,-1.444520775199999996e+00,1.977919367000000079e+02,1.977917542000000140e+02,-1.444437500000000041e+00,-1.444520800000000049e+00,1.814999999999999947e+00,4.070000000000000284e+00,1.054999999999999938e+00,2.556000000000000050e+00
1.896435999999999879e-04,1.441929999999999934e+00,1.296674999999999954e-03,2.215073000000000129e-03,1.977777394100000095e+02,1.977775724400000001e+02,-1.422664869499999929e+00,-1.422677099800000011e+00,1.977777394000000015e+02,1.977775723999999968e+02,-1.422664900000000010e+00,-1.422677100000000028e+00,8.810000000000000053e-01,1.262000000000000011e+00,5.779999999999999583e-01,8.459999999999999742e-01
1.896435999999999879e-04,2.653731000000000062e+00,1.296674999999999954e-03,2.088630000000000174e-03,1.977777394100000095e+02,1.977780481300000019e+02,-1.422664869499999929e+00,-1.422278386999999977e+00,1.977777394000000015e+02,1.977780481000000066e+02,-1.422664900000000010e+00,-1.422278399999999943e+00,8.810000000000000053e-01,1.336000000000000076e+00,5.779999999999999583e-01,1.258999999999999897e+00
1.379026000000000102e-04,9.845302999999999694e-01,1.302055000000000096e-03,2.204311000000000031e-03,1.978226458499999865e+02,1.978224449900000081e+02,-1.490166286400000040e+00,-1.490184627299999898e+00,1.978226458000000036e+02,1.978224449999999877e+02,-1.490166300000000055e+00,-1.490184600000000081e+00,9.489999999999999547e-01,9.230000000000000426e-01,4.359999999999999987e-01,8.800000000000000044e-01
1.229671999999999905e-04,2.513764000000000109e+01,1.297282000000000079e-03,1.905313000000000059e-03,1.977920530000000099e+02,1.977917541799999981e+02,-1.444056888600000033e+00,-1.444520775199999996e+00,1.977920530000000099e+02,1.977917542000000140e+02,-1.444056900000000088e+00,-1.444520800000000049e+00,7.399999999999999911e-01,4.070000000000000284e+00,4.510000000000000120e-01,2.556000000000000050e+00
4.718367000000000221e-03,6.455692999999999415e+01,1.298286999999999965e-03,-1.642496000000000017e-03,1.977993341499999929e+02,1.977991062700000100e+02,-1.455499254200000037e+00,-1.455609196900000013e+00,1.977993341000000100e+02,1.977991063000000054e+02,-1.455499300000000051e+00,-1.455609200000000047e+00,2.633000000000000007e+00,3.709999999999999964e+00,2.060999999999999943e+00,3.164000000000000146e+00
6.595928999999999508e-04,9.761915999999999372e+00,1.302535999999999972e-03,4.284162000000000213e-03,1.978169162000000085e+02,1.978168273400000032e+02,-1.481372962400000048e+00,-1.481417192999999966e+00,1.978169162000000085e+02,1.978168272999999999e+02,-1.481373000000000051e+00,-1.481417200000000101e+00,1.883000000000000007e+00,3.233999999999999986e+00,1.072000000000000064e+00,1.921999999999999931e+00
2.330680999999999920e-04,2.473203999999999958e+00,1.300097999999999965e-03,3.416161000000000024e-03,1.978146085900000060e+02,1.978143756100000132e+02,-1.477259911600000031e+00,-1.477210168999999906e+00,1.978146086000000139e+02,1.978143756000000053e+02,-1.477259899999999959e+00,-1.477210200000000029e+00,9.799999999999999822e-01,1.647000000000000020e+00,6.919999999999999485e-01,1.479999999999999982e+00
1.332222000000000094e-03,1.553393999999999942e+01,1.304025000000000106e-03,7.391934999999999652e-03,1.978350273899999934e+02,1.978348396499999922e+02,-1.508647998899999898e+00,-1.508612253099999911e+00,1.978350274000000013e+02,1.978348396000000093e+02,-1.508647999999999989e+00,-1.508612300000000017e+00,2.166999999999999815e+00,3.665000000000000036e+00,1.348000000000000087e+00,2.830000000000000071e+00
2.546625000000000169e-04,6.751829999999999998e+00,1.296854999999999970e-03,5.227456999999999590e-03,1.977868419899999992e+02,1.977866639599999985e+02,-1.434908599499999937e+00,-1.435118932399999991e+00,1.977868420000000071e+02,1.977866640000000018e+02,-1.434908599999999979e+00,-1.435118899999999975e+00,1.455999999999999961e+00,2.637000000000000011e+00,4.939999999999999947e-01,1.655999999999999917e+00
