bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
7.291158999999999965e-04,5.913549000000000258e-05,1.075655999999999921e-03,1.849590000000000023e-05,6.510492000000000210e-05,2.000000000000000000e+01,1.978258640399999990e+02,-1.472836765600000097e+00,1.978258639999999957e+02,-1.472836800000000057e+00,1.560999999999999943e+00,1.042999999999999927e+00
1.981225999999999994e-03,7.189913999999999344e-05,1.075854999999999910e-03,1.849590000000000023e-05,1.907446000000000033e-04,3.100000000000000000e+01,1.978285133999999914e+02,-1.471003282899999931e+00,1.978285133999999914e+02,-1.471003300000000014e+00,1.504999999999999893e+00,1.310000000000000053e+00
8.658089000000000106e-04,6.865388000000000209e-05,1.076301999999999901e-03,1.849590000000000023e-05,6.592680999999999433e-05,1.800000000000000000e+01,1.978321007199999997e+02,-1.474797282900000006e+00,1.978321007000000122e+02,-1.474797300000000089e+00,1.739999999999999991e+00,1.092999999999999972e+00
1.443562999999999930e+00,5.607373999999999822e-04,1.077063000000000065e-03,1.849590000000000023e-05,7.757205999999999824e-02,1.912000000000000000e+03,1.978367234199999984e+02,-1.473885142499999912e+00,1.978367234000000110e+02,-1.473885099999999948e+00,5.060999999999999943e+00,4.641000000000000014e+00
2.203894000000000079e-03,7.798557000000000557e-05,1.076822000000000066e-03,1.849590000000000023e-05,1.955398000000000010e-04,3.800000000000000000e+01,1.978346344199999862e+02,-1.474607605399999910e+00,1.978346343999999988e+02,-1.474607599999999907e+00,1.554999999999999938e+00,1.391999999999999904e+00
1.340765000000000056e-03,7.895437000000000212e-05,1.075795000000000050e-03,1.849590000000000023e-05,5.992281000000000235e-05,3.100000000000000000e+01,1.978291161200000090e+02,-1.463890339600000035e+00,1.978291160999999931e+02,-1.463890300000000089e+00,2.486000000000000210e+00,1.127000000000000002e+00
4.479708000000000301e-02,2.022368999999999881e-04,1.076188999999999965e-03,1.849590000000000023e-05,2.883599000000000145e-03,2.360000000000000000e+02,1.978364167500000121e+02,-1.469155054500000057e+00,1.978364167000000009e+02,-1.469155100000000047e+00,2.766000000000000014e+00,2.495999999999999996e+00
3.010693999999999957e-03,1.245329999999999950e-04,1.075619000000000098e-03,1.849590000000000023e-05,6.207008999999999986e-05,8.300000000000000000e+01,1.978330766999999923e+02,-1.463484050900000000e+00,1.978330766999999923e+02,-1.463484100000000065e+00,3.313000000000000167e+00,2.432999999999999829e+00
8.431998000000000444e-04,6.640232000000000090e-05,1.075800999999999927e-03,1.849590000000000023e-05,6.566115000000000406e-05,2.300000000000000000e+01,1.978296598899999879e+02,-1.459410273400000069e+00,1.978296598999999958e+02,-1.459410300000000049e+00,2.305000000000000160e+00,1.348000000000000087e+00
4.310628999999999958e-04,4.775622000000000336e-05,1.075681999999999897e-03,1.849590000000000023e-05,4.927244000000000220e-05,1.300000000000000000e+01,1.978322390200000029e+02,-1.463241531600000034e+00,1.978322389999999871e+02,-1.463241500000000084e+00,1.260000000000000009e+00,1.074000000000000066e+00
2.498215999999999935e-04,3.487620999999999723e-05,1.075601999999999938e-03,1.849590000000000023e-05,5.263322999999999819e-05,8.000000000000000000e+00,1.978260570399999949e+02,-1.451169067599999973e+00,1.978260569999999916e+02,-1.451169099999999990e+00,9.969999999999999973e-01,6.129999999999999893e-01
5.608227000000000134e-04,5.783565000000000250e-05,1.075713999999999967e-03,1.849590000000000023e-05,4.710338999999999965e-05,1.800000000000000000e+01,1.978290598199999977e+02,-1.453154022599999928e+00,1.978290598000000102e+02,-1.453154000000000057e+00,4.259000000000000341e+00,1.006000000000000005e+00
1.503940999999999958e-03,8.891724000000000589e-05,1.075715000000000091e-03,1.849590000000000023e-05,5.647098000000000054e-05,2.600000000000000000e+01,1.978291103599999872e+02,-1.453348651400000024e+00,1.978291103999999905e+02,-1.453348700000000049e+00,2.745999999999999996e+00,9.749999999999999778e-01
4.910779000000000099e-04,4.932241000000000132e-05,1.075851999999999972e-03,1.849590000000000023e-05,5.642499000000000201e-05,1.400000000000000000e+01,1.978425821200000030e+02,-1.473747757099999944e+00,1.978425820999999871e+02,-1.473747799999999941e+00,1.094999999999999973e+00,1.042000000000000037e+00
8.528351999999999895e-04,6.753748999999999430e-05,1.075858000000000066e-03,1.849590000000000023e-05,6.886943999999999770e-05,1.700000000000000000e+01,1.978364723699999956e+02,-1.464536304899999974e+00,1.978364723999999910e+02,-1.464536300000000013e+00,1.760999999999999899e+00,9.649999999999999689e-01
4.812274999999999864e-04,4.932241000000000132e-05,1.075715000000000091e-03,1.849590000000000023e-05,5.306978999999999728e-05,1.400000000000000000e+01,1.978292640399999982e+02,-1.453450418100000086e+00,1.978292639999999949e+02,-1.453450399999999920e+00,1.205999999999999961e+00,1.084000000000000075e+00
7.339604000000000007e-04,6.287397999999999327e-05,1.075713999999999967e-03,1.849590000000000023e-05,4.817498999999999799e-05,2.100000000000000000e+01,1.978469524699999909e+02,-1.472919793600000027e+00,1.978469524999999862e+02,-1.472919799999999890e+00,2.226999999999999869e+00,8.960000000000000187e-01
1.436707999999999865e-04,2.757206000000000042e-05,1.075437999999999958e-03,1.849590000000000023e-05,4.274362999999999720e-05,4.000000000000000000e+00,1.978274805800000138e+02,-1.441105351600000084e+00,1.978274806000000012e+02,-1.441105400000000092e+00,7.500000000000000000e-01,4.530000000000000138e-01
1.316982999999999923e-04,2.757206000000000042e-05,1.075701000000000088e-03,1.849590000000000023e-05,4.358298999999999859e-05,3.000000000000000000e+00,1.978324483899999962e+02,-1.448359912899999991e+00,1.978324484000000041e+02,-1.448359900000000033e+00,1.060000000000000053e+00,3.200000000000000067e-01
2.454024999999999870e-03,1.123370999999999989e-04,1.075840999999999907e-03,1.849590000000000023e-05,7.393606999999999632e-05,6.500000000000000000e+01,1.978518612400000052e+02,-1.474980689599999950e+00,1.978518612000000019e+02,-1.474980699999999922e+00,2.943999999999999950e+00,2.172000000000000153e+00
8.710118999999999674e-04,5.514413000000000154e-05,1.076013000000000013e-03,1.849590000000000023e-05,1.089732000000000022e-04,1.800000000000000000e+01,1.978471809700000108e+02,-1.465315911000000026e+00,1.978471810000000062e+02,-1.465315900000000005e+00,1.264999999999999902e+00,9.549999999999999600e-01
7.861339000000000391e-04,6.407168999999999777e-05,1.075584999999999996e-03,1.849590000000000023e-05,5.499506000000000197e-05,1.000000000000000000e+01,1.978345760599999892e+02,-1.445519510100000016e+00,1.978345760999999925e+02,-1.445519500000000068e+00,1.808000000000000052e+00,5.809999999999999609e-01
1.739920999999999959e-03,9.144619000000000478e-05,1.075884000000000042e-03,1.849590000000000023e-05,7.766810999999999659e-05,5.000000000000000000e+01,1.978423954900000012e+02,-1.455565458899999998e+00,1.978423955000000092e+02,-1.455565500000000068e+00,2.787999999999999812e+00,1.463000000000000078e+00
1.488752999999999941e-04,2.757206000000000042e-05,1.075942999999999995e-03,1.849590000000000023e-05,5.063484000000000122e-05,4.000000000000000000e+00,1.978531634999999937e+02,-1.472697911300000051e+00,1.978531634999999937e+02,-1.472697900000000004e+00,7.570000000000000062e-01,4.420000000000000040e-01
6.879355999999999666e-04,6.040735999999999757e-05,1.075571999999999900e-03,1.849590000000000023e-05,5.127663999999999904e-05,9.000000000000000000e+00,1.978355238000000043e+02,-1.445245790299999999e+00,1.978355238000000043e+02,-1.445245799999999914e+00,1.286999999999999922e+00,7.710000000000000187e-01
2.107061999999999824e-03,1.031652000000000063e-04,1.076029999999999955e-03,1.849590000000000023e-05,6.285693999999999386e-05,4.200000000000000000e+01,1.978565281399999947e+02,-1.472432101699999940e+00,1.978565280999999914e+02,-1.472432100000000021e+00,2.152000000000000135e+00,1.715999999999999970e+00
