bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
3.090114999999999941e-04,5.146930999999999934e-05,7.406332999999999753e-04,3.452665999999999987e-05,9.467068999999999398e-05,4.000000000000000000e+00,1.978272685599999932e+02,-1.474408614099999904e+00,1.978272685999999965e+02,-1.474408600000000069e+00,6.049999999999999822e-01,6.029999999999999805e-01
6.322780000000000067e-03,1.841422000000000002e-04,7.396056000000000462e-04,3.452665999999999987e-05,2.655175999999999869e-04,5.800000000000000000e+01,1.978258555799999954e+02,-1.472829127900000090e+00,1.978258556000000112e+02,-1.472829100000000002e+00,2.366999999999999993e+00,1.651000000000000023e+00
1.306644999999999968e+01,1.718951999999999937e-03,7.488739000000000333e-04,3.452665999999999987e-05,7.217803999999999887e-01,5.061000000000000000e+03,1.978367156099999988e+02,-1.473890712700000050e+00,1.978367155999999909e+02,-1.473890700000000109e+00,6.594999999999999751e+00,5.942000000000000171e+00
3.181115999999999783e-04,5.146930999999999934e-05,7.406528000000000113e-04,3.452665999999999987e-05,7.786805999999999795e-05,5.000000000000000000e+00,1.978286180999999999e+02,-1.473327634499999927e+00,1.978286180999999999e+02,-1.473327599999999959e+00,6.109999999999999876e-01,6.049999999999999822e-01
1.823214000000000085e-02,2.278644000000000134e-04,7.394373000000000092e-04,3.452665999999999987e-05,1.786484000000000075e-03,7.900000000000000000e+01,1.978285109999999918e+02,-1.470988529500000030e+00,1.978285109999999918e+02,-1.470988500000000032e+00,2.153000000000000025e+00,1.697999999999999954e+00
1.188637000000000027e-02,2.819090000000000007e-04,7.435490000000000328e-04,3.452665999999999987e-05,2.541320999999999923e-04,1.360000000000000000e+02,1.978319964599999992e+02,-1.474885678799999988e+00,1.978319965000000025e+02,-1.474885699999999966e+00,3.676000000000000156e+00,2.725999999999999979e+00
9.984957000000000901e-04,9.490471999999999418e-05,7.381247999999999976e-04,3.452665999999999987e-05,8.801039000000000626e-05,1.400000000000000000e+01,1.978274415699999906e+02,-1.466202627599999975e+00,1.978274415999999860e+02,-1.466202599999999912e+00,1.590999999999999970e+00,8.920000000000000151e-01
1.235921000000000068e-03,1.003322000000000014e-04,7.443868000000000403e-04,3.452665999999999987e-05,1.592119999999999929e-04,1.500000000000000000e+01,1.978332176600000025e+02,-1.473894706899999907e+00,1.978332177000000058e+02,-1.473894700000000002e+00,1.370000000000000107e+00,9.659999999999999698e-01
4.398080999999999866e-03,1.691453999999999950e-04,7.381386999999999671e-04,3.452665999999999987e-05,2.218874999999999927e-04,4.700000000000000000e+01,1.978279408799999999e+02,-1.465996540499999945e+00,1.978279408999999873e+02,-1.465996499999999925e+00,2.051000000000000156e+00,1.548999999999999932e+00
2.240235000000000143e-03,1.260735999999999986e-04,7.382149999999999650e-04,3.452665999999999987e-05,1.784284000000000076e-04,2.600000000000000000e+01,1.978285844600000019e+02,-1.466015009499999966e+00,1.978285845000000052e+02,-1.466015000000000068e+00,1.514000000000000012e+00,1.241000000000000103e+00
