bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
9.419657000000000334e-04,1.942529000000000110e+02,9.767877999999999587e-05,1.975229000000000013e-01,3.005285999999999808e-03,1.946870999999999867e+02,3.080735000000000244e-04,2.099930999999999881e-01,8.493933000000000386e-03,2.549474999999999832e-03,3.361356999999999740e-05,9.602629999999999152e-03,8.454174000000000010e-05,1.300423000000000107e+00,7.000000000000000000e+00,9.220000000000000000e+02,1.501637728400000071e+02,1.501636529600000074e+02,2.155974619999999842e+00,2.156110092900000108e+00,1.501637728000000038e+02,1.501636530000000107e+02,2.155974599999999963e+00,2.156110099999999807e+00,1.366999999999999993e+00,6.062000000000000277e+00,6.929999999999999494e-01,4.591000000000000192e+00
3.547746999999999706e-02,2.227978000000000065e+03,5.466153999999999978e-04,5.169985000000000275e-01,6.640419000000000183e-02,2.213672999999999774e+03,1.647484000000000058e-03,5.054142000000000357e-01,8.494053999999999147e-03,1.467881000000000090e-03,3.361356999999999740e-05,9.602629999999999152e-03,1.879595000000000018e-04,5.097698000000000285e+00,4.670000000000000000e+02,6.278000000000000000e+03,1.501837612399999955e+02,1.501836242800000036e+02,2.115778675200000070e+00,2.115691970299999891e+00,1.501837611999999922e+02,1.501836242999999911e+02,2.115778699999999901e+00,2.115692000000000128e+00,8.893000000000000682e+00,1.427599999999999980e+01,5.142000000000000348e+00,1.134500000000000064e+01
7.838028999999999830e-04,8.825574000000000296e+01,9.239487000000000329e-05,1.895826999999999929e-01,2.118609000000000030e-03,8.963129000000000701e+01,3.521857999999999781e-04,2.441914000000000029e-01,8.492747999999999617e-03,1.951693999999999912e-03,3.361356999999999740e-05,9.602629999999999152e-03,8.309911999999999323e-05,9.214769999999999905e-01,1.200000000000000000e+01,8.180000000000000000e+02,1.501751436899999987e+02,1.501750005300000055e+02,2.216975083799999968e+00,2.217115703200000176e+00,1.501751437000000067e+02,1.501750005000000101e+02,2.216975099999999976e+00,2.217115699999999912e+00,1.739999999999999991e+00,6.519999999999999574e+00,9.509999999999999565e-01,5.820000000000000284e+00
3.200422000000000100e+00,4.832083999999999833e+03,1.102834999999999926e-03,6.019010000000000193e-01,3.069278000000000173e+00,6.377510000000000218e+03,6.841185000000000061e-04,5.282124999999999737e-01,8.494411000000000322e-03,1.436272000000000069e-02,3.361356999999999740e-05,9.602629999999999152e-03,1.958764000000000061e-01,1.960010000000000119e+01,2.211000000000000000e+03,8.520000000000000000e+03,1.501817090799999903e+02,1.501816542200000129e+02,2.271208001299999779e+00,2.271232287000000127e+00,1.501817091000000062e+02,1.501816541999999970e+02,2.271208000000000116e+00,2.271232299999999871e+00,5.254999999999999893e+00,1.500900000000000034e+01,4.637999999999999901e+00,1.179800000000000004e+01
2.405736999999999969e-04,8.264069000000000642e+01,5.010815999999999968e-05,1.487632999999999872e-01,5.455454999999999896e-04,8.399681999999999960e+01,1.344542999999999910e-04,1.629619999999999957e-01,8.492516000000000301e-03,1.615818999999999893e-03,3.361356999999999740e-05,9.602629999999999152e-03,7.019936999999999531e-05,1.067523000000000000e+00,4.000000000000000000e+00,5.190000000000000000e+02,1.501909275799999932e+02,1.501907648899999970e+02,2.155076699999999956e+00,2.154998411099999789e+00,1.501909276000000091e+02,1.501907649000000049e+02,2.155076699999999956e+00,2.154998400000000203e+00,7.560000000000000053e-01,5.432000000000000384e+00,4.450000000000000067e-01,3.116999999999999993e+00
2.962839999999999918e+00,1.294898999999999978e+04,1.066256000000000018e-03,9.951792000000000415e-01,2.835468999999999795e+00,1.255172999999999956e+04,6.707758000000000297e-04,6.821698000000000484e-01,8.495231000000000657e-03,2.303625000000000117e-02,3.361356999999999740e-05,9.602629999999999152e-03,2.198151000000000133e-01,1.737243000000000137e+01,2.053000000000000000e+03,2.324900000000000000e+04,1.501878810599999952e+02,1.501877685999999983e+02,2.276956193599999789e+00,2.276916502000000175e+00,1.501878810999999985e+02,1.501877685999999983e+02,2.276956199999999875e+00,2.276916500000000010e+00,5.128999999999999559e+00,1.784400000000000119e+01,4.567000000000000171e+00,1.652799999999999869e+01
3.967080000000000107e-04,2.908382999999999896e+01,5.928876999999999851e-05,1.280351000000000128e-01,1.018468000000000021e-03,2.955411000000000143e+01,2.102154999999999866e-04,1.421419999999999906e-01,8.493343000000000420e-03,1.419502000000000003e-03,3.361356999999999740e-05,9.602629999999999152e-03,7.056723999999999354e-05,6.464136000000000326e-01,7.000000000000000000e+00,3.730000000000000000e+02,1.501997838100000138e+02,1.501995896399999992e+02,2.173720598700000117e+00,2.173673841799999895e+00,1.501997838000000058e+02,1.501995895999999959e+02,2.173720599999999781e+00,2.173673799999999989e+00,9.739999999999999769e-01,4.046999999999999709e+00,5.390000000000000346e-01,3.105999999999999872e+00
5.256499999999999888e-03,6.123316999999999553e+02,1.503245000000000004e-04,2.449455000000000104e-01,7.374742000000000103e-03,5.904468000000000529e+02,3.361357000000000147e-04,1.623321000000000069e-01,8.494356999999999255e-03,2.910686000000000002e-03,3.361356999999999740e-05,9.602629999999999152e-03,5.320022000000000206e-04,1.875555999999999912e+01,3.600000000000000000e+01,1.367000000000000000e+03,1.502064101500000106e+02,1.502062499799999955e+02,2.120596626699999820e+00,2.120626637500000022e+00,1.502064101999999934e+02,1.502062500000000114e+02,2.120596599999999832e+00,2.120626600000000028e+00,1.604999999999999982e+00,4.604000000000000092e+00,1.441000000000000059e+00,3.637000000000000011e+00
1.424187000000000092e+00,1.890140000000000146e+04,8.007904000000000367e-04,8.633826999999999474e-01,1.372406000000000015e+00,1.823788000000000102e+04,5.950013999999999781e-04,3.963403999999999816e-01,8.494730000000000683e-03,6.172686000000000145e-03,3.361356999999999740e-05,9.602629999999999152e-03,9.577626000000000195e-02,2.135974999999999966e+02,1.188000000000000000e+03,1.731400000000000000e+04,1.502001672199999973e+02,1.502001527799999963e+02,2.209379346800000032e+00,2.209542758500000037e+00,1.502001672000000099e+02,1.502001528000000121e+02,2.209379300000000157e+00,2.209542799999999918e+00,4.785000000000000142e+00,1.040300000000000047e+01,3.837000000000000188e+00,9.587999999999999190e+00
3.958828999999999972e-04,3.317298000000000258e+01,5.489073000000000156e-05,1.197658000000000056e-01,1.052285999999999933e-03,3.340671999999999997e+01,1.927699000000000057e-04,1.293091000000000101e-01,8.493710999999999275e-03,2.042356999999999853e-03,3.361356999999999740e-05,9.602629999999999152e-03,9.880959999999999667e-05,6.966807999999999890e-01,6.000000000000000000e+00,3.210000000000000000e+02,1.501997622700000079e+02,1.501995785000000012e+02,2.219282141699999933e+00,2.219267241999999918e+00,1.501997623000000033e+02,1.501995785000000012e+02,2.219282100000000035e+00,2.219267199999999995e+00,7.830000000000000293e-01,3.475999999999999979e+00,5.000000000000000000e-01,3.061999999999999833e+00
