bit_flux_iso,hsc_flux_iso,bit_iso_fluxerr,hsc_iso_fluxerr,bit_flux_kron,hsc_flux_kron,bit_kron_fluxerr,hsc_kron_fluxerr,bit_background,hsc_background,bit_thresh,hsc_thresh,bit_maxflux,hsc_maxflux,bit_isoarea,hsc_isoarea,bit_xworld,hsc_xworld,bit_yworld,hsc_yworld,bit_alpha,hsc_alpha,bit_delta,hsc_delta,bit_a,hsc_a,bit_b,hsc_b
9.595937000000000347e-04,9.334669999999999845e+01,8.814427999999999424e-05,2.808595999999999870e-01,2.608651000000000025e-03,9.512117000000000644e+01,3.246115999999999737e-04,3.451550999999999925e-01,6.430804000000000034e-04,2.601968999999999983e-03,3.305410999999999988e-05,1.463198999999999923e-02,9.492138999999999481e-05,7.102365999999999957e-01,1.100000000000000000e+01,7.800000000000000000e+02,1.501571348800000010e+02,1.501571644800000058e+02,2.111826230000000137e+00,2.111733792699999945e+00,1.501571348999999884e+02,1.501571644999999933e+02,2.111826199999999876e+00,2.111733800000000105e+00,1.411999999999999922e+00,6.807999999999999829e+00,8.319999999999999618e-01,4.777999999999999581e+00
4.123899000000000206e-04,8.778844000000000092e-01,5.830196000000000244e-05,5.342846999999999874e-02,5.684302999999999708e-04,1.786359999999999948e+00,1.186679000000000027e-04,1.590937000000000046e-01,6.353529999999999595e-04,2.117793000000000193e-03,3.305410999999999988e-05,1.463198999999999923e-02,7.716053999999999697e-05,6.302987000000000173e-02,6.000000000000000000e+00,2.700000000000000000e+01,1.501567561100000034e+02,1.501568551299999967e+02,2.139401053099999839e+00,2.139390848300000147e+00,1.501567560999999955e+02,1.501568551000000014e+02,2.139401100000000167e+00,2.139390800000000148e+00,1.237999999999999989e+00,1.574999999999999956e+00,3.930000000000000160e-01,1.274999999999999911e+00
2.813545999999999777e-04,3.595983999999999847e-01,4.927414999999999985e-05,4.021948999999999663e-02,4.775830000000000114e-04,1.270448000000000022e+00,1.246548000000000046e-04,1.386397000000000046e-01,6.375719999999999868e-04,2.100550000000000073e-03,3.305410999999999988e-05,1.463198999999999923e-02,8.276669999999999481e-05,4.400358000000000047e-02,4.000000000000000000e+00,1.200000000000000000e+01,1.501584606199999996e+02,1.501586184399999979e+02,2.125094829400000052e+00,2.125077789900000180e+00,1.501584606000000122e+02,1.501586183999999946e+02,2.125094799999999839e+00,2.125077800000000128e+00,1.312000000000000055e+00,1.574999999999999956e+00,4.380000000000000004e-01,8.279999999999999583e-01
1.538206000000000078e-03,5.549098999999999648e+01,1.226916999999999895e-04,2.089865999999999946e-01,5.504153999999999818e-03,5.720638999999999896e+01,5.552915000000000281e-04,2.628332999999999919e-01,6.364164999999999536e-04,1.857673999999999914e-03,3.305410999999999988e-05,1.463198999999999923e-02,7.698632999999999377e-05,4.974823999999999913e-01,2.500000000000000000e+01,4.290000000000000000e+02,1.501587361100000066e+02,1.501586373700000081e+02,2.128344308299999987e+00,2.128195052300000167e+00,1.501587360999999987e+02,1.501586374000000035e+02,2.128344300000000189e+00,2.128195100000000117e+00,3.009999999999999787e+00,4.878000000000000114e+00,1.532999999999999918e+00,3.871999999999999886e+00
1.081755000000000000e-03,7.476127999999999929e+01,9.085704000000000382e-05,2.241450000000000109e-01,3.402726999999999922e-03,7.611861000000000388e+01,3.216059000000000170e-04,2.560482000000000036e-01,6.349983000000000016e-04,2.092563999999999882e-03,3.305410999999999988e-05,1.463198999999999923e-02,1.324905000000000082e-04,9.041379999999999972e-01,1.600000000000000000e+01,4.950000000000000000e+02,1.501589674600000137e+02,1.501588650799999982e+02,2.141984247599999946e+00,2.141989464199999915e+00,1.501589674999999886e+02,1.501588651000000141e+02,2.141984200000000005e+00,2.141989500000000213e+00,1.500999999999999890e+00,5.618999999999999773e+00,9.110000000000000320e-01,3.193999999999999950e+00
3.219561000000000124e-04,1.372814999999999896e+00,5.830196000000000244e-05,6.246029000000000164e-02,6.224895000000000038e-04,1.719875999999999960e+00,1.340401999999999978e-04,1.315975000000000061e-01,6.379992999999999819e-04,2.030468000000000117e-03,3.305410999999999988e-05,1.463198999999999923e-02,5.769927999999999689e-05,6.308730999999999367e-02,6.000000000000000000e+00,3.900000000000000000e+01,1.501624666200000036e+02,1.501626549099999863e+02,2.123901786699999850e+00,2.124010403499999811e+00,1.501624665999999877e+02,1.501626549000000068e+02,2.123901800000000062e+00,2.124010399999999965e+00,7.399999999999999911e-01,2.067000000000000171e+00,6.909999999999999476e-01,1.260000000000000009e+00
2.923485999999999880e-04,2.335860999999999965e+00,4.927414999999999985e-05,7.742519999999999958e-02,5.424883999999999609e-04,2.975690000000000168e+00,1.123623999999999934e-04,1.264348000000000138e-01,6.485218999999999749e-04,2.299670000000000186e-03,3.305410999999999988e-05,1.463198999999999923e-02,8.230370999999999672e-05,1.026106999999999991e-01,5.000000000000000000e+00,5.500000000000000000e+01,1.501651185000000055e+02,1.501649236499999915e+02,2.101598840299999882e+00,2.101408788600000133e+00,1.501651185000000055e+02,1.501649236000000087e+02,2.101598800000000100e+00,2.101408800000000188e+00,7.329999999999999849e-01,2.104000000000000092e+00,4.540000000000000147e-01,1.745999999999999996e+00
9.678469000000000525e-04,6.670525999999999733e+00,8.814427999999999424e-05,1.004304000000000030e-01,1.800916999999999969e-03,7.550709999999999589e+00,2.796063999999999798e-04,1.523725999999999969e-01,6.390818999999999840e-04,2.442375000000000101e-03,3.305410999999999988e-05,1.463198999999999923e-02,1.041150999999999953e-04,3.015373000000000081e-01,8.000000000000000000e+00,9.500000000000000000e+01,1.501637028799999882e+02,1.501635549300000037e+02,2.121003998599999996e+00,2.121058145800000183e+00,1.501637029000000041e+02,1.501635549000000083e+02,2.121004000000000111e+00,2.121058099999999946e+00,1.435999999999999943e+00,2.246999999999999886e+00,5.540000000000000480e-01,2.059000000000000163e+00
3.707423000000000164e-04,1.177332000000000045e+00,5.397712999999999730e-05,6.169387999999999955e-02,7.185699000000000470e-04,1.234601999999999977e+00,1.393683000000000053e-04,9.150680999999999399e-02,6.331798999999999717e-04,3.221278000000000162e-03,3.305410999999999988e-05,1.463198999999999923e-02,8.962535999999999463e-05,6.733485999999999638e-02,5.000000000000000000e+00,2.800000000000000000e+01,1.501555976399999963e+02,1.501554026100000101e+02,2.194938695099999837e+00,2.194921814000000193e+00,1.501555975999999930e+02,1.501554026000000022e+02,2.194938699999999798e+00,2.194921799999999923e+00,1.022999999999999909e+00,1.453000000000000069e+00,4.099999999999999756e-01,1.366999999999999993e+00
2.552435999999999833e-04,1.098306000000000004e+01,4.927414999999999985e-05,1.283025000000000138e-01,9.423594999999999888e-04,1.190413000000000032e+01,1.749059000000000020e-04,1.894011999999999918e-01,6.350795000000000442e-04,2.242657999999999804e-03,3.305410999999999988e-05,1.463198999999999923e-02,7.641903000000000346e-05,2.106397999999999882e-01,4.000000000000000000e+00,1.550000000000000000e+02,1.501562314200000117e+02,1.501561683500000015e+02,2.211653761900000070e+00,2.211542710599999850e+00,1.501562313999999958e+02,1.501561684000000128e+02,2.211653800000000114e+00,2.211542699999999861e+00,7.550000000000000044e-01,3.520000000000000018e+00,4.470000000000000084e-01,2.487999999999999989e+00
